,Inspection / Maintenance Item,Yes,No,N/A,Comments
8. Meters (For Retail Sales Only),,,,,
(A) General,,,,,
,"Is the meter(s) properly calibrated or ""proved"" at the appropriate time intervals?",:unselected:,:unselected:,:unselected:,
,Is the seal(s) in place by the appropriate authority having jurisdiction?,:unselected:,:unselected:,:unselected:,
,Is the meter in good working condition and free of leaks?,:unselected:,:unselected:,:unselected:,
,Has the strainer been properly cleaned out of any debris?,:unselected:,:unselected:,:unselected:,
(B) Hoses,,,,,
,Are the hose covers free of exposed reinforcement?,:unselected:,:unselected:,:unselected:,
,Is wire braid reinforcement free of kinks and not flattened?,:unselected:,:unselected:,:unselected:,
,"Are hoses free of soft spots when not under pressure, show no bulging under pressure, and have no loose outer coverings?",:unselected:,:unselected:,:unselected:,
,Are hose coupling assemblies secure and in good working condition?,:unselected:,:unselected:,:unselected:,
,"Are the ACME threads, O-rings, or gaskets in good working condition (i.e., showing little sign of excessive wear)?",:unselected:,:unselected:,:unselected:,
,Are pull-away couplings in place and in good working condition?,:unselected:,:unselected:,:unselected:,
