,Inspection / Maintenance Item,Yes,No,N/A,Comments
11. Electrical Systems,,,,,
(A) General,,,,,
,Are all electrical components and wiring in compliance with Table 6.20.2.2 (Electrical Area Classification) in NFPA 58-2004?,:unselected:,:unselected:,:unselected:,
,"Are electrical control switches and wiring in compliance with Class 1, Group D, Division 1 or 2 (where applicable) in compliance with Table 6.20.2.2 (Electrical Area Classification) in NFPA 58-2004?",:unselected:,:unselected:,:unselected:,
,Are pump and/or compressor switches readily accessible to the operator?,:unselected:,:unselected:,:unselected:,
,Are electrical controls for equipment clearly marked or color-coded to indicate the on and off (stop) positions?,:unselected:,:unselected:,:unselected:,
,"Is the electrical emergency shutdown located more than 20 ft (but less than 100 ft) from any dispensing devices, and prominently labeled?",:unselected:,:unselected:,:unselected:,
,"Is electrical wiring, in Division 1 or 2 areas, installed in rigid conduit? Class 1, Group D in flexible sections?",:unselected:,:unselected:,:unselected:,
,"For electric motors, are flexible connectors Class 1, Group D, Division 1 or 2 where applicable?",:unselected:,:unselected:,:unselected:,
,Are all seal-off fixtures filled with suitable putty and installed in the appropriate locations?,:unselected:,:unselected:,:unselected:,
