,Inspection / Maintenance Item,Yes,No,N/A,Comments
(C) Bulkheads - Emergency Shut-off Valves (ESVs) (Cont'd),,,,,
,Are remote emergency shutoff devices between 25 and 100 feet from the ESV and within the path of egress?,:unselected:,:unselected:,:unselected:,
(D) Bulkheads - Hoses,,,,,
,Are the hose covers free of exposed reinforcement?,:unselected:,:unselected:,:unselected:,
,Is wire braid reinforcement free of kinks and not flattened?,:unselected:,:unselected:,:unselected:,
,"Are hoses free of soft spots when not under pressure, show no bulging under pressure, and have no loose outer coverings?",:unselected:,:unselected:,:unselected:,
,Are hose coupling assemblies secure and in good working condition?,:unselected:,:unselected:,:unselected:,
,"Are the ACME threads, O-rings, or gaskets in good working condition (i.e., showing little sign of excessive wear)?",:unselected:,:unselected:,:unselected:,
E) Bulkheads - Manual Shut-off Valves,,,,,
,Are valves located so that they may be easily reached during normal operations and in an emergency?,:unselected:,:unselected:,:unselected:,
,Are valves in good condition and leak-free?,:unselected:,:unselected:,:unselected:,
,"Do the valves have the proper pressure rating, equal to or greater than the maximum allowable working pressure of the system?",:unselected:,:unselected:,:unselected:,
