,Inspection / Maintenance Item,Yes,No,N/A,Comments
(D) Container Fittings (cont'd),,,,,
,Are all fittings that are subject to container pressure rated for at least 250 psig working pressure?,:unselected:,:unselected:,:unselected:,
,Are all unused openings plugged or capped?,:unselected:,:unselected:,:unselected:,
,Are all fittings leak-free?,:unselected:,:unselected:,:unselected:,
(E) Container Gauges,,,,,
,Are pressure gauges in good condition and suitable for 250 psig service (such as 0 - 400 psig)?,:unselected:,:unselected:,:unselected:,
,Are thermometers in good condition?,:unselected:,:unselected:,:unselected:,
,Are liquid level gauges arranged and installed so that the liquid level can be accurately determined?,:unselected:,:unselected:,:unselected:,
(F),Container Pressure Relief Valves,,,,
,Is relief valve data legible?,:unselected:,:unselected:,:unselected:,
,Is the relief valve marked for use with LP- Gas and labeled by an independent testing agency?,:unselected:,:unselected:,:unselected:,
,"Is the relief capacity sufficient, as determined by NFPA 58?",:unselected:,:unselected:,:unselected:,
,"Do relief valves communicate with the container vapor space and discharge upward, unobstructed to the open air?",:unselected:,:unselected:,:unselected:,
,Are relief valves on containers >2000 gallons water capacity equipped with vent stacks of proper diameter and length?,:unselected:,:unselected:,:unselected:,
,Are relief valve vent stacks on containers >2000 gallons water capacity equipped with breakaway couplings?,:unselected:,:unselected:,:unselected:,
,Do relief valves or vent stacks have loose- fitting protective caps or closures to prevent entry of foreign matter?,:unselected:,:unselected:,:unselected:,
,Are weep holes for moisture drainage open and is gas impingement of the container prevented?,:unselected:,:unselected:,:unselected:,
