,Inspection / Maintenance Item,Yes,No,N/A,Comments
3. Liquid Pump,,,,,
(A) General,,,,,
,Are pumps free of corrosion or other damage?,:unselected:,:unselected:,:unselected:,
,Are pump pads and/or foundations in good condition and properly supporting the pumps?,:unselected:,:unselected:,:unselected:,
,Are base plate bolts in place and properly securing the pump to that foundation?,:unselected:,:unselected:,:unselected:,
,Are the pumps properly lubricated?,:unselected:,:unselected:,:unselected:,
,"Are strainers in good working condition (i.e., strainer screens free of debris) and leak-free?",:unselected:,:unselected:,:unselected:,
,Are hydrostatic relief valves installed in the appropriate location and in good working condition?,:unselected:,:unselected:,:unselected:,
,"Are all stainless steel flex connectors in good working condition (i.e., reinforcement braid is not damaged)?",:unselected:,:unselected:,:unselected:,
,Are fittings and piping associated with the pump leak-free?,:unselected:,:unselected:,:unselected:,
(B) Pump Drive Components,,,,,
,Are drive belts properly aligned and in good working condition?,:unselected:,:unselected:,:unselected:,
,"For shaft coupling-driven pumps, are shaft couplings properly aligned?",:unselected:,:unselected:,:unselected:,
,"For shaft coupling-driven pumps, are spacing bushings in good working condition?",:unselected:,:unselected:,:unselected:,
,"For gear reduction-driven pumps, are universal joints and couplings properly aligned and in good working condition?",:unselected:,:unselected:,:unselected:,
,Are drive belt guards in place and secure?,:unselected:,:unselected:,:unselected:,
(C) Pump Gauges,,,,,
,"Are pressure gauges in good condition (i.e., 0 - 400 psig)?",:unselected:,:unselected:,:unselected:,
(D) Automatic Bypass Valves,,,,,
,Are bypasses in good working condition and leak-free?,:unselected:,:unselected:,:unselected:,
,Are bypasses set at the appropriate pressure differential?,:unselected:,:unselected:,:unselected:,
