,Inspection / Maintenance Item,Yes,No,N/A,Comments
4. Bulkheads,,,,,
(A) General,,,,,
,Are bulkheads properly protected against vehicular damage?,:unselected:,:unselected:,:unselected:,
,"Are bulkheads (i.e., structure and foundation) in good condition and properly supporting the bulkhead, especially in the event of an attempted pull-away?",:unselected:,:unselected:,:unselected:,
(B) Bulkheads- Piping and Fittings,,,,,
,Are pipe nipples and couplings that are attached to the bulkhead in good working condition and free of excessive wear?,:unselected:,:unselected:,:unselected:,
,"Are all flanges and fittings properly sized for the pressure rating, equal to or greater than the maximum allowable working pressure of the system",:unselected:,:unselected:,:unselected:,
,"Are all stainless steel flex connectors in good working condition (i.e., reinforcement braid is not damaged)?",:unselected:,:unselected:,:unselected:,
,Are all flow indicators and sight checks in proper working condition and leak-free?,:unselected:,:unselected:,:unselected:,
,Are hydrostatic relief valves installed in the appropriate location and in good working condition?,:unselected:,:unselected:,:unselected:,
,Are all fittings and pipes leak-free?,:unselected:,:unselected:,:unselected:,
(C) Bulkheads - Emergency Shut-off Valves (ESVs),,,,,
,Are ESVs in good working condition and leak-free?,:unselected:,:unselected:,:unselected:,
,Has an annual test been performed and documented as required by NFPA 58,:unselected:,:unselected:,:unselected:,
,Are operating cables operating correctly?,:unselected:,:unselected:,:unselected:,
,Is the pneumatic control system in good working condition?,:unselected:,:unselected:,:unselected:,
