,Inspection / Maintenance Item,Yes,No,N/A,Comments
(G) Container - Internal Valves,,,,,
,Are the valve body seams leak-free?,:unselected:,:unselected:,:unselected:,
,Are operating cables working correctly?,:unselected:,:unselected:,:unselected:,
,Is the pneumatic control system in good working condition?,:unselected:,:unselected:,:unselected:,
,Are hydraulic operators in good working condition?,:unselected:,:unselected:,:unselected:,
,Is the thermal link intact and free of paint?,:unselected:,:unselected:,:unselected:,
(H) Container - Emergency Shut-off Valves,,,,,
,Are ESVs in good working condition and leak free?,:unselected:,:unselected:,:unselected:,
,Has an annual test been performed and documented as required by NFPA 58?,:unselected:,:unselected:,:unselected:,
,Are operating cables working correctly?,:unselected:,:unselected:,:unselected:,
,Is the pneumatic control system in good working condition?,:unselected:,:unselected:,:unselected:,
,Are remote emergency shutoff devices between 25 and 100 feet from the ESV and within the path of egress?,:unselected:,:unselected:,:unselected:,
,Is the thermal link intact and free of paint?,:unselected:,:unselected:,:unselected:,
(I) Container - Manual Shut-off Valves,,,,,
,Are valves located so that they can be easily reached during normal operations and in an emergency?,:unselected:,:unselected:,:unselected:,
,Are valves in good condition and leak-free?,:unselected:,:unselected:,:unselected:,
,"Do valves have the proper service pressure rating, equal to or greater than the maximum allowable working pressure of the container?",:unselected:,:unselected:,:unselected:,
